synergy_id,tag,threshold,active_teams,active_win_rate,inactive_teams,inactive_win_rate,delta_pp
synergy.arcane,Arcane,3,618,0.7346,5382,0.4725,26.21
synergy.arcane,Arcane,5,0,0.0000,5382,0.4725,-47.25
synergy.beast,Beast,3,275,0.4582,5725,0.5015,-4.33
synergy.beast,Beast,5,0,0.0000,5725,0.5015,-50.15
synergy.steel,Steel,3,286,0.3986,5714,0.5046,-10.59
synergy.steel,Steel,5,0,0.0000,5714,0.5046,-50.46
synergy.undead,Undead,3,289,0.5779,5711,0.4955,8.23
synergy.undead,Undead,5,0,0.0000,5711,0.4955,-49.55
